major,how many calculus?,black enrollment,white enrollment,black degrees,white degrees
Biology,6,2285,1720,329,339
Biochemistry,10,32,110,2,22
Biomedical Science,10,98,45,46,27
Chemistry,10,226,421,39,127
Physics,10,71,201,10,60
Environmental Science,10,64,53,7,17
Forensic Science,6,264,172,22,19
Earth Science,8,92,209,14,29
Technology,4,2036,817,287,159
Computer Science,10,1040,1194,101,189
Engineering,10,1008,1268,126,232
Mathematics,8,435,708,97,182
Statistics,10,32,129,9,54
Actuarial Science,11,31,73,7,19
